seed,label,n_fall,tp,fn,recall,recall_CI95_low,recall_CI95_high,n_nonfall,fp,tn,specificity,spec_CI95_low,spec_CI95_high,fall_precision,binary_f1
42,FGSM_defense,45,4,41,0.089,0.035,0.207,455,54,401,0.881,0.848,0.908,0.069,0.078
42,D_safety,45,20,25,0.444,0.309,0.588,455,157,298,0.655,0.610,0.697,0.113,0.180
42,priorE_safety,45,16,29,0.356,0.232,0.502,455,117,338,0.743,0.701,0.781,0.120,0.180
42,priorE_macroF1,45,0,45,0.000,0.000,0.079,455,20,435,0.956,0.933,0.971,0.000,0.000
42,v2safety,45,16,29,0.356,0.232,0.502,455,117,338,0.743,0.701,0.781,0.120,0.180
42,v2lowFA,45,6,39,0.133,0.063,0.262,455,61,394,0.866,0.832,0.894,0.090,0.107
43,FGSM_defense,45,1,44,0.022,0.004,0.116,455,35,420,0.923,0.895,0.944,0.028,0.025
43,D_safety,45,13,32,0.289,0.177,0.434,455,160,295,0.648,0.603,0.691,0.075,0.119
43,priorE_safety,45,17,28,0.378,0.251,0.524,455,151,304,0.668,0.624,0.710,0.101,0.160
43,priorE_macroF1,45,1,44,0.022,0.004,0.116,455,38,417,0.916,0.887,0.939,0.026,0.024
43,v2safety,45,5,40,0.111,0.048,0.235,455,79,376,0.826,0.789,0.858,0.060,0.078
43,v2lowFA,45,3,42,0.067,0.023,0.179,455,63,392,0.862,0.827,0.890,0.045,0.054
