epoch,train_loss,mean_motion_penalty,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,1.982556,0.128279,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,1.972248,0.115223,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
3,1.961169,0.125342,0.352823,0.138322,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
4,1.915683,0.115973,0.350806,0.133075,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,1.796413,0.109039,0.457661,0.341437,0.000000,0.000000,0.000000,0,1,0.001106,-0.000111,0,0,0,0,1
6,1.652197,0.113520,0.576613,0.509008,0.545455,0.022727,0.022727,40,55,0.105088,0.192900,0,0,0,0,1
7,1.567502,0.115016,0.556452,0.535449,0.636364,0.000000,0.000000,16,38,0.059735,0.216754,0,0,0,0,1
8,1.480519,0.112063,0.586694,0.552212,0.818182,0.068182,0.000000,51,80,0.144912,0.278691,0,0,0,0,1
9,1.434706,0.106867,0.659274,0.636256,0.795455,0.090909,0.022727,23,47,0.077434,0.289984,0,0,0,0,1
10,1.371623,0.106903,0.661290,0.652797,0.818182,0.022727,0.000000,16,34,0.055310,0.283105,0,0,0,0,1
11,1.346727,0.103274,0.655242,0.642543,0.818182,0.136364,0.000000,26,60,0.095133,0.290487,0,0,0,0,0
12,1.345663,0.111252,0.691532,0.682014,0.818182,0.045455,0.000000,28,50,0.086283,0.282281,0,0,0,0,1
13,1.221183,0.092923,0.695565,0.678077,0.863636,0.363636,0.022727,77,109,0.205752,0.328288,0,0,0,0,0
14,1.309989,0.111633,0.703629,0.685291,0.886364,0.068182,0.000000,43,72,0.127212,0.304324,1,1,1,0,1
15,1.122008,0.085646,0.713710,0.701716,0.750000,0.022727,0.000000,10,21,0.034292,0.261344,1,0,1,0,1
16,1.091144,0.077829,0.731855,0.718082,0.909091,0.159091,0.022727,46,65,0.122788,0.332039,1,1,1,0,1
17,1.160203,0.090021,0.727823,0.719196,0.909091,0.204545,0.000000,34,80,0.126106,0.326026,1,0,0,0,1
18,1.119519,0.082870,0.735887,0.714746,0.909091,0.136364,0.022727,28,56,0.092920,0.332753,1,1,1,0,0
19,1.146077,0.098052,0.766129,0.750521,0.909091,0.068182,0.000000,22,39,0.067478,0.318252,1,0,0,0,1
20,1.107726,0.080759,0.741935,0.728844,0.909091,0.181818,0.045455,46,83,0.142699,0.342548,1,1,1,0,0
21,1.122930,0.092737,0.758065,0.731999,0.954545,0.250000,0.090909,54,70,0.137168,0.386283,1,1,1,0,0
22,1.065267,0.084041,0.754032,0.733690,0.931818,0.295455,0.000000,43,73,0.128319,0.342850,1,0,0,0,0
23,1.049001,0.083896,0.756048,0.741412,0.954545,0.159091,0.022727,30,51,0.089602,0.351267,1,0,0,0,0
24,0.954440,0.070165,0.810484,0.783609,0.909091,0.159091,0.000000,26,46,0.079646,0.326126,1,0,0,0,1
25,0.931207,0.071401,0.806452,0.782034,0.954545,0.159091,0.022727,29,47,0.084071,0.351820,1,0,0,0,0
