rule,tau1,tau2,pgd_recall,pgd_fp,walkrun_fp,specificity,precision,f1
A_pfall,0.0,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.02,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.04,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.06,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.08,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.1,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.12,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.14,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.16,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.18,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.2,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.22,,0.622,112,73,0.754,0.200,0.303
A_pfall,0.24,,0.600,112,73,0.754,0.194,0.293
A_pfall,0.26,,0.578,111,72,0.756,0.190,0.286
A_pfall,0.28,,0.556,111,72,0.756,0.184,0.276
A_pfall,0.3,,0.533,109,72,0.760,0.180,0.270
A_pfall,0.32,,0.467,107,71,0.765,0.164,0.243
A_pfall,0.34,,0.422,102,68,0.776,0.157,0.229
A_pfall,0.36,,0.422,99,65,0.782,0.161,0.233
A_pfall,0.38,,0.356,91,61,0.800,0.150,0.211
A_pfall,0.4,,0.267,87,59,0.809,0.121,0.167
A_pfall,0.42,,0.178,83,56,0.818,0.088,0.118
A_pfall,0.44,,0.133,80,54,0.824,0.070,0.092
A_pfall,0.46,,0.089,75,51,0.835,0.051,0.065
A_pfall,0.48,,0.089,68,47,0.851,0.056,0.068
A_pfall,0.5,,0.067,62,44,0.864,0.046,0.055
A_pfall,0.52,,0.067,52,38,0.886,0.055,0.060
A_pfall,0.54,,0.044,40,28,0.912,0.048,0.046
A_pfall,0.56,,0.044,30,23,0.934,0.062,0.052
A_pfall,0.58,,0.044,20,14,0.956,0.091,0.060
A_pfall,0.6,,0.044,15,9,0.967,0.118,0.065
A_pfall,0.62,,0.044,10,6,0.978,0.167,0.070
A_pfall,0.64,,0.022,8,6,0.982,0.111,0.037
A_pfall,0.66,,0.022,6,5,0.987,0.143,0.038
A_pfall,0.68,,0.022,5,4,0.989,0.167,0.039
A_pfall,0.7,,0.022,5,4,0.989,0.167,0.039
A_pfall,0.72,,0.000,5,4,0.989,0.000,0.000
A_pfall,0.74,,0.000,4,3,0.991,0.000,0.000
A_pfall,0.76,,0.000,2,2,0.996,0.000,0.000
A_pfall,0.78,,0.000,2,2,0.996,0.000,0.000
A_pfall,0.8,,0.000,1,1,0.998,0.000,0.000
A_pfall,0.82,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.84,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.86,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.88,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.9,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.92,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.94,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.96,,0.000,0,0,1.000,0.000,0.000
A_pfall,0.98,,0.000,0,0,1.000,0.000,0.000
A_pfall,1.0,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,0.0,,0.622,112,73,0.754,0.200,0.303
B_logitmargin,0.25,,0.422,103,70,0.774,0.156,0.228
B_logitmargin,0.5,,0.244,88,59,0.807,0.111,0.153
B_logitmargin,0.75,,0.111,73,47,0.840,0.064,0.081
B_logitmargin,1.0,,0.089,47,27,0.897,0.078,0.083
B_logitmargin,1.25,,0.022,15,8,0.967,0.062,0.033
B_logitmargin,1.5,,0.022,9,5,0.980,0.100,0.036
B_logitmargin,1.75,,0.000,4,3,0.991,0.000,0.000
B_logitmargin,2.0,,0.000,3,2,0.993,0.000,0.000
B_logitmargin,2.25,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,2.5,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,2.75,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,3.0,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,3.25,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,3.5,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,3.75,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,4.0,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,4.25,,0.000,0,0,1.000,0.000,0.000
B_logitmargin,4.5,,0.000,0,0,1.000,0.000,0.000
