sample_id,true_class,pred_class,fall_prob,true_prob,second_class,second_prob,fall_logit,true_logit,max_nonfall_logit,logit_fall_minus_true,logit_fall_minus_maxnonfall,entropy,conf_margin,is_walk_or_run
2,lie down,fall,0.5571,0.0213,walk,0.1605,1.421,-1.842,0.176,3.263,1.244,1.329,0.397,0
10,lie down,fall,0.6134,0.1574,lie down,0.1574,2.198,0.838,0.838,1.360,1.360,1.226,0.456,0
13,lie down,fall,0.7592,0.0636,walk,0.0898,2.486,0.006,0.351,2.480,2.135,0.896,0.669,0
21,lie down,fall,0.3820,0.0674,walk,0.1767,0.985,-0.750,0.215,1.735,0.771,1.665,0.205,0
30,lie down,fall,0.4954,0.0382,walk,0.1619,1.284,-1.278,0.166,2.563,1.119,1.493,0.334,0
37,lie down,fall,0.4605,0.0447,stand up,0.1481,1.247,-1.086,0.112,2.333,1.134,1.570,0.312,0
38,lie down,fall,0.5069,0.0187,run,0.1961,1.287,-2.014,0.337,3.301,0.950,1.368,0.311,0
43,lie down,fall,0.4858,0.0111,walk,0.2168,1.291,-2.492,0.484,3.783,0.807,1.328,0.269,0
48,lie down,fall,0.3785,0.1184,walk,0.1334,0.917,-0.245,-0.126,1.162,1.043,1.758,0.245,0
53,lie down,fall,0.4441,0.0107,run,0.2441,1.190,-2.535,0.591,3.724,0.599,1.343,0.200,0
61,lie down,fall,0.4701,0.0169,walk,0.1625,1.315,-2.011,0.253,3.327,1.062,1.493,0.308,0
113,pickup,fall,0.2805,0.0144,stand up,0.2620,0.844,-2.128,0.776,2.972,0.068,1.724,0.018,0
114,pickup,fall,0.5495,0.0182,run,0.1911,1.453,-1.955,0.397,3.409,1.056,1.264,0.358,0
117,pickup,fall,0.6235,0.1319,pickup,0.1319,2.018,0.464,0.464,1.554,1.554,1.220,0.492,0
118,pickup,fall,0.5346,0.0232,run,0.1883,1.409,-1.727,0.366,3.136,1.043,1.304,0.346,0
121,pickup,fall,0.5587,0.0144,run,0.1731,1.517,-2.138,0.346,3.655,1.171,1.289,0.386,0
128,pickup,fall,0.3806,0.0125,run,0.2882,1.041,-2.372,0.763,3.414,0.278,1.411,0.092,0
129,pickup,fall,0.4071,0.1752,pickup,0.1752,1.649,0.806,0.806,0.843,0.843,1.678,0.232,0
140,pickup,fall,0.6161,0.0236,stand up,0.1283,1.813,-1.451,0.244,3.264,1.569,1.258,0.488,0
143,pickup,fall,0.5200,0.0239,run,0.2189,1.375,-1.706,0.510,3.081,0.865,1.253,0.301,0
147,pickup,fall,0.3136,0.2512,pickup,0.2512,1.392,1.171,1.171,0.222,0.222,1.745,0.062,0
160,pickup,fall,0.3239,0.0222,walk,0.3230,0.908,-1.772,0.905,2.680,0.003,1.358,0.001,0
165,run,fall,0.5422,0.1619,walk,0.1756,1.355,0.146,0.227,1.209,1.128,1.324,0.367,1
170,run,fall,0.4351,0.2701,run,0.2701,1.225,0.748,0.748,0.477,0.477,1.346,0.165,1
173,run,fall,0.5265,0.2155,run,0.2155,1.312,0.419,0.419,0.893,0.893,1.290,0.311,1
175,run,fall,0.5830,0.1744,run,0.1744,1.425,0.218,0.218,1.207,1.207,1.214,0.409,1
176,run,fall,0.5823,0.1709,walk,0.1746,1.533,0.307,0.328,1.226,1.205,1.194,0.408,1
179,run,fall,0.5065,0.2450,run,0.2450,1.598,0.871,0.871,0.726,0.726,1.212,0.262,1
184,run,fall,0.5560,0.1865,run,0.1865,1.478,0.386,0.386,1.092,1.092,1.233,0.369,1
187,run,fall,0.5361,0.1885,run,0.1885,1.387,0.342,0.342,1.045,1.045,1.292,0.348,1
189,run,fall,0.5084,0.2210,run,0.2210,1.367,0.535,0.535,0.833,0.833,1.288,0.287,1
192,run,fall,0.3602,0.3546,run,0.3546,1.102,1.086,1.086,0.016,0.016,1.244,0.006,1
200,run,fall,0.4738,0.2655,run,0.2655,1.428,0.849,0.849,0.579,0.579,1.299,0.208,1
