epoch,train_loss,mean_motion_margin,mean_fall_margin,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,2.835168,0.443238,0.578148,0.294355,0.065077,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,2.803901,0.254411,0.764928,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
3,2.790731,0.254419,0.756596,0.288306,0.085226,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
4,2.789493,0.238334,0.781495,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,2.809597,0.281592,0.733087,0.338710,0.129843,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,2.782918,0.280075,0.731870,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
7,2.758340,0.209271,0.795984,0.288306,0.100078,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
8,2.741252,0.284431,0.716486,0.274194,0.100097,0.318182,0.295455,0.250000,45,45,0.099558,0.243453,0,0,0,0,0
9,2.704851,0.273404,0.709784,0.350806,0.172816,0.386364,0.318182,0.318182,108,115,0.246681,0.285559,0,0,0,0,1
10,2.704342,0.369179,0.610479,0.219758,0.112466,1.000000,1.000000,0.977273,344,348,0.765487,0.813224,0,0,0,0,0
11,2.689204,0.437039,0.535523,0.348790,0.156797,0.000000,0.000000,0.000000,1,0,0.001106,-0.000111,0,0,0,0,0
12,2.591888,0.409074,0.500890,0.286290,0.171555,1.000000,0.931818,0.863636,266,275,0.598451,0.771973,0,0,0,0,0
13,2.459601,0.462839,0.377367,0.411290,0.326877,0.772727,0.454545,0.431818,105,116,0.244469,0.485780,0,0,0,0,1
14,2.353857,0.430821,0.359749,0.443548,0.353117,0.909091,0.568182,0.431818,123,139,0.289823,0.540336,0,0,0,0,1
15,2.356009,0.468580,0.310943,0.330645,0.229620,0.840909,0.840909,0.840909,253,260,0.567478,0.700070,0,0,0,0,0
16,2.292101,0.401704,0.362102,0.497984,0.404959,0.954545,0.477273,0.386364,90,103,0.213496,0.534332,0,0,0,0,1
17,2.160192,0.390139,0.308285,0.477823,0.394918,0.977273,0.613636,0.545455,139,170,0.341814,0.614682,0,0,0,0,0
18,2.210313,0.445035,0.292365,0.443548,0.388639,0.977273,0.954545,0.840909,178,192,0.409292,0.774980,0,0,0,0,0
19,2.167817,0.380318,0.322930,0.449597,0.341942,0.977273,0.863636,0.818182,173,183,0.393805,0.757210,0,0,0,0,0
20,2.173655,0.397312,0.317031,0.520161,0.419418,0.954545,0.568182,0.340909,104,127,0.255531,0.518765,0,0,0,0,1
21,2.142120,0.420830,0.298253,0.457661,0.395526,0.977273,0.909091,0.863636,185,198,0.423673,0.779224,0,0,0,0,0
22,2.110615,0.393616,0.304707,0.493952,0.425554,0.954545,0.613636,0.477273,128,135,0.290929,0.581134,0,0,0,0,1
23,2.018226,0.372400,0.251683,0.566532,0.491802,0.977273,0.795455,0.590909,132,144,0.305310,0.656969,0,0,0,0,1
24,1.980840,0.332194,0.310508,0.558468,0.465608,0.840909,0.159091,0.090909,50,64,0.126106,0.338526,0,0,0,0,0
25,1.983664,0.381155,0.244644,0.534274,0.439734,0.977273,0.727273,0.454545,130,148,0.307522,0.588566,0,0,0,0,0
26,1.916541,0.355038,0.242586,0.635081,0.558372,0.977273,0.250000,0.159091,59,73,0.146018,0.424035,0,0,0,0,1
27,1.949435,0.354947,0.281750,0.475806,0.405429,0.977273,0.977273,0.954545,217,237,0.502212,0.819097,0,0,0,0,0
28,1.826328,0.313150,0.222998,0.586694,0.547321,0.954545,0.750000,0.590909,137,156,0.324115,0.642588,0,0,0,0,0
29,1.862959,0.307443,0.261654,0.604839,0.547984,0.977273,0.772727,0.613636,136,161,0.328540,0.662601,0,0,0,0,0
30,1.833221,0.337865,0.206983,0.616935,0.564077,0.977273,0.681818,0.386364,102,123,0.248894,0.559202,0,0,0,0,1
31,1.673895,0.284578,0.179113,0.596774,0.555906,0.863636,0.772727,0.636364,138,161,0.330752,0.632834,0,0,0,0,0
32,1.721324,0.289796,0.216322,0.663306,0.604961,0.977273,0.568182,0.272727,72,96,0.185841,0.503007,0,0,0,0,1
33,1.709375,0.271505,0.240254,0.637097,0.572963,0.954545,0.568182,0.318182,65,88,0.169248,0.517166,0,0,0,0,0
34,1.665832,0.269693,0.203827,0.641129,0.606042,0.795455,0.136364,0.022727,34,39,0.080752,0.294198,0,0,0,0,1
35,1.656345,0.262341,0.210478,0.645161,0.623500,0.931818,0.613636,0.454545,97,112,0.231195,0.568926,0,0,0,0,1
36,1.849973,0.338170,0.265480,0.590726,0.507100,0.931818,0.590909,0.386364,93,110,0.224558,0.536635,0,0,0,0,0
37,1.629986,0.261087,0.197118,0.641129,0.606634,0.954545,0.704545,0.590909,111,124,0.259956,0.644459,0,0,0,0,0
38,1.732884,0.278033,0.249385,0.602823,0.577541,0.954545,0.659091,0.500000,96,105,0.222345,0.602765,0,0,0,0,0
39,1.679204,0.327323,0.183150,0.653226,0.607462,0.977273,0.590909,0.386364,80,100,0.199115,0.555088,0,0,0,0,0
40,1.707833,0.292645,0.247898,0.681452,0.662374,0.931818,0.340909,0.181818,50,51,0.111726,0.430873,0,0,0,0,1
41,1.752092,0.303686,0.260420,0.669355,0.635151,0.954545,0.636364,0.363636,62,74,0.150442,0.546319,0,0,0,0,0
42,1.596165,0.229987,0.218626,0.683468,0.640797,0.977273,0.568182,0.227273,66,84,0.165929,0.484543,0,0,0,0,0
43,1.623226,0.274192,0.219959,0.616935,0.547258,0.977273,0.863636,0.772727,129,149,0.307522,0.745384,0,0,0,0,0
44,1.633025,0.264571,0.247103,0.651210,0.630580,0.977273,0.704545,0.613636,82,89,0.189159,0.669720,0,0,0,0,0
45,1.582743,0.256163,0.187268,0.669355,0.636156,0.931818,0.568182,0.318182,63,78,0.155973,0.510539,0,0,0,0,0
46,1.609311,0.248472,0.233169,0.659274,0.612423,0.931818,0.500000,0.363636,64,82,0.161504,0.523622,0,0,0,0,0
47,1.732320,0.327661,0.242991,0.614919,0.572555,0.977273,0.909091,0.772727,129,159,0.318584,0.748823,0,0,0,0,0
48,1.570731,0.240474,0.192663,0.651210,0.626728,0.909091,0.590909,0.340909,71,80,0.167035,0.513978,0,0,0,0,0
49,1.488733,0.227492,0.175430,0.665323,0.638903,0.931818,0.386364,0.136364,51,59,0.121681,0.413968,0,0,0,0,0
50,1.576112,0.270730,0.215211,0.681452,0.668257,0.931818,0.431818,0.295455,49,60,0.120575,0.490215,0,0,0,0,1
51,1.579889,0.277377,0.199961,0.677419,0.638346,0.977273,0.795455,0.659091,90,104,0.214602,0.696722,0,0,0,0,0
52,1.609453,0.288068,0.215992,0.631048,0.580858,0.977273,0.818182,0.772727,107,129,0.261062,0.745485,0,0,0,0,0
53,1.443804,0.232187,0.147647,0.637097,0.579408,0.977273,0.931818,0.818182,130,163,0.324115,0.770998,0,0,0,0,0
54,1.523908,0.247902,0.195891,0.647177,0.611835,0.977273,0.886364,0.795455,131,160,0.321903,0.756446,0,0,0,0,0
55,1.519094,0.256217,0.177754,0.665323,0.615598,0.977273,0.750000,0.522727,83,96,0.198009,0.632472,0,0,0,0,0
56,1.510271,0.296751,0.148560,0.687500,0.650682,0.954545,0.704545,0.522727,73,88,0.178097,0.621963,0,0,0,0,0
57,1.461501,0.244392,0.154569,0.699597,0.647923,0.954545,0.568182,0.340909,53,65,0.130531,0.531265,0,0,0,0,0
58,1.292149,0.191826,0.146861,0.713710,0.686057,0.977273,0.704545,0.590909,87,94,0.200221,0.658387,1,1,1,1,1
59,1.455346,0.274273,0.146814,0.707661,0.675970,0.954545,0.295455,0.159091,33,38,0.078540,0.427373,1,0,0,1,0
60,1.423838,0.213869,0.191957,0.729839,0.710959,0.954545,0.386364,0.113636,35,38,0.080752,0.415788,1,0,0,0,1
61,1.471631,0.258567,0.172461,0.675403,0.642821,0.977273,0.477273,0.227273,54,66,0.132743,0.478771,0,0,0,0,0
62,1.436285,0.223663,0.170542,0.679435,0.636142,0.977273,0.795455,0.795455,124,150,0.303097,0.749236,0,0,0,0,0
63,1.473778,0.273238,0.179206,0.697581,0.684717,0.931818,0.272727,0.159091,32,43,0.082965,0.416704,0,0,0,0,0
64,1.498964,0.256062,0.209116,0.705645,0.680754,0.954545,0.204545,0.068182,30,39,0.076327,0.377595,1,0,0,0,0
65,1.415025,0.215635,0.173450,0.677419,0.624020,0.954545,0.590909,0.340909,44,61,0.116150,0.534976,0,0,0,0,0
66,1.444220,0.239132,0.179588,0.681452,0.634338,0.977273,0.818182,0.704545,98,126,0.247788,0.716130,0,0,0,0,0
