rule,tau1,tau2,pgd_recall,pgd_fp,walkrun_fp,precision,specificity,f1,clean_fall_recall,clean_fp,pgd20_recall
A_pfall,0.0,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.02,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.04,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.06,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.08,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.1,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.12,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.14,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.16,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.18,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
A_pfall,0.2,,0.644,102,72,0.221,0.776,0.330,0.978,24,0.600
A_pfall,0.22,,0.644,97,69,0.230,0.787,0.339,0.978,21,0.600
A_pfall,0.24,,0.622,93,65,0.231,0.796,0.337,0.978,20,0.578
A_pfall,0.26,,0.511,86,62,0.211,0.811,0.299,0.978,19,0.489
A_pfall,0.28,,0.467,74,54,0.221,0.837,0.300,0.978,15,0.378
A_pfall,0.3,,0.356,62,46,0.205,0.864,0.260,0.956,11,0.222
A_pfall,0.32,,0.178,47,35,0.145,0.897,0.160,0.956,5,0.133
A_pfall,0.34,,0.111,32,24,0.135,0.930,0.122,0.889,2,0.111
A_pfall,0.36,,0.089,16,10,0.200,0.965,0.123,0.889,0,0.067
A_pfall,0.38,,0.067,8,3,0.273,0.982,0.107,0.733,0,0.067
A_pfall,0.4,,0.067,5,2,0.375,0.989,0.113,0.511,0,0.067
A_pfall,0.42,,0.044,4,1,0.333,0.991,0.078,0.422,0,0.044
A_pfall,0.44,,0.044,3,0,0.400,0.993,0.080,0.267,0,0.044
A_pfall,0.46,,0.044,2,0,0.500,0.996,0.082,0.178,0,0.044
A_pfall,0.48,,0.044,1,0,0.667,0.998,0.083,0.156,0,0.022
A_pfall,0.5,,0.022,1,0,0.500,0.998,0.043,0.133,0,0.022
A_pfall,0.52,,0.022,1,0,0.500,0.998,0.043,0.133,0,0.022
A_pfall,0.54,,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
A_pfall,0.56,,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
A_pfall,0.58,,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
A_pfall,0.6,,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
A_pfall,0.62,,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
A_pfall,0.64,,0.022,1,0,0.500,0.998,0.043,0.111,0,0.000
A_pfall,0.66,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
A_pfall,0.68,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
A_pfall,0.7,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
A_pfall,0.72,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
A_pfall,0.74,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
A_pfall,0.76,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
A_pfall,0.78,,0.000,0,0,0.000,1.000,0.000,0.089,0,0.000
A_pfall,0.8,,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
A_pfall,0.82,,0.000,0,0,0.000,1.000,0.000,0.022,0,0.000
A_pfall,0.84,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
A_pfall,0.86,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
A_pfall,0.88,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
A_pfall,0.9,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
