epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,topk_budget_selected,topk_rescue_selected,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,3.664244,1.990591,0.053727,1.008902,0.062066,0.084010,1.013906,7.693548,1.145161,0.304435,0.079083,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,3.503667,1.998077,0.006408,0.984904,0.011876,0.015950,0.988852,7.629032,1.096774,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
3,3.563661,1.999556,0.005657,1.026169,0.011234,0.011921,1.030171,7.645161,1.145161,0.133065,0.033554,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,3.478781,1.998153,0.010017,0.964273,0.014561,0.015685,0.967868,7.677419,1.096774,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,3.518725,1.998429,0.005161,0.999767,0.008722,0.010290,1.003001,7.661290,1.177419,0.250000,0.143464,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,3.505486,1.998336,0.001970,0.996634,0.005225,0.006075,1.000564,7.677419,1.112903,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
7,3.508082,1.996500,0.003787,0.996976,0.006504,0.008348,1.000282,7.629032,1.112903,0.243952,0.056214,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
8,3.452190,1.995964,0.003108,0.961102,0.005635,0.008359,0.964406,7.612903,1.177419,0.334677,0.174051,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
9,3.517623,1.996881,0.001808,1.006719,0.004053,0.005737,1.010586,7.661290,1.096774,0.423387,0.305607,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
10,3.420955,1.997474,0.002320,0.941674,0.004174,0.006027,0.944600,7.645161,1.080645,0.375000,0.168577,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
11,3.376191,1.996520,0.002975,0.911598,0.004611,0.006620,0.914352,7.629032,1.064516,0.316532,0.128835,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
12,3.374286,1.996401,0.002703,0.911011,0.004407,0.006364,0.913164,7.661290,1.064516,0.364919,0.226879,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
13,3.415036,1.996549,0.001608,0.939894,0.003012,0.004831,0.943115,7.725806,1.032258,0.358871,0.237713,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
14,3.467151,1.995708,0.002721,0.972678,0.004481,0.007410,0.975717,7.693548,1.129032,0.294355,0.162089,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
15,3.441856,1.994489,0.002708,0.956577,0.004413,0.007666,0.959672,7.693548,1.080645,0.306452,0.177247,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
16,3.464405,1.994337,0.002627,0.971251,0.004445,0.008307,0.975183,7.677419,1.112903,0.409274,0.254510,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
17,3.464329,1.993736,0.002832,0.971275,0.004722,0.008508,0.975020,7.580645,1.209677,0.447581,0.279703,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
18,3.446589,1.995149,0.003959,0.957161,0.005604,0.009332,0.960098,7.709677,1.080645,0.320565,0.127905,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
19,3.462420,1.994083,0.002187,0.971115,0.004066,0.006776,0.975161,7.580645,1.209677,0.417339,0.270268,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
20,3.443908,1.993976,0.004077,0.955684,0.005925,0.009812,0.958680,7.677419,1.145161,0.395161,0.187949,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
21,3.436697,1.993912,0.002499,0.953591,0.004435,0.007296,0.957225,7.677419,1.145161,0.354839,0.233120,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
22,3.462080,1.993257,0.002916,0.969866,0.004780,0.008987,0.973535,7.661290,1.112903,0.453629,0.274018,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
23,3.419866,1.993899,0.002750,0.941230,0.005192,0.008665,0.944927,7.741935,1.080645,0.247984,0.126023,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
24,3.436635,1.993562,0.002811,0.953448,0.004151,0.008526,0.956798,7.693548,1.080645,0.332661,0.227457,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
25,3.419868,1.991305,0.005384,0.937920,0.007584,0.012901,0.942448,7.596774,1.177419,0.366935,0.228487,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
26,3.412110,1.990828,0.003341,0.936391,0.005816,0.010643,0.940824,7.693548,1.048387,0.415323,0.329066,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
27,3.434482,1.987187,0.004770,0.950358,0.007394,0.014330,0.955216,7.693548,1.129032,0.429435,0.249224,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
28,3.489436,1.988579,0.005109,0.984769,0.007762,0.015622,0.990813,7.758065,1.112903,0.395161,0.305275,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
29,3.440544,1.986741,0.006605,0.950593,0.008829,0.018244,0.957305,7.709677,1.064516,0.395161,0.333299,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
30,3.416440,1.985359,0.005672,0.935850,0.008257,0.017554,0.945048,7.629032,1.048387,0.451613,0.282591,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
31,3.483711,1.979329,0.008419,0.978093,0.011592,0.025679,0.986877,7.629032,1.209677,0.393145,0.314281,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
32,3.465337,1.973198,0.009391,0.963631,0.013901,0.031739,0.978694,7.629032,1.129032,0.489919,0.375733,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
33,3.510944,1.969764,0.009499,0.998089,0.014233,0.030929,1.007790,7.758065,1.161290,0.451613,0.295337,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
34,3.389762,1.967137,0.009243,0.918372,0.013183,0.031485,0.932168,7.596774,1.096774,0.502016,0.408088,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
