epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,mean_nonfall_budget,mean_fall_rescue,budget_to_rescue_loss_ratio,fall_selected_count,fall_k_abs_floor_active_frac,clean_guard_eligible,selection_score,sel_maxscore,sel_maxrec,sel_minFA
1,0.250000,0.240000,0.000000,452,0,0.000000,0.294355,0.064976,0.000000,0.153379,0.981874,0.156211,2.580645,0.983871,0,-2.611290,0,0,0
2,0.240000,0.230000,0.000000,452,0,0.000000,0.364919,0.136546,0.000000,0.039884,0.938224,0.042510,2.693548,0.919355,0,-2.470161,0,0,0
3,0.230000,0.220000,0.000000,452,0,0.000000,0.102823,0.046530,0.000000,0.018409,0.964899,0.019078,2.677419,0.951613,0,-2.994355,0,0,0
4,0.220000,0.210000,0.000000,452,0,0.000000,0.324597,0.119446,0.000000,0.024281,0.912214,0.026618,2.419355,0.903226,0,-2.550806,0,0,0
5,0.210000,0.200000,0.000000,452,0,0.000000,0.294355,0.064976,0.000000,0.014580,0.925092,0.015760,2.467742,0.919355,0,-2.611290,0,0,0
6,0.200000,0.190000,0.000000,452,0,0.000000,0.304435,0.101292,0.000000,0.017301,0.956731,0.018084,2.564516,0.951613,0,-2.591129,0,0,0
7,0.190000,0.180000,0.000000,452,0,0.000000,0.288306,0.106334,0.000000,0.017677,0.970703,0.018211,2.435484,0.967742,0,-2.623387,0,0,0
8,0.180000,0.170000,0.000000,452,0,0.000000,0.372984,0.211386,0.000000,0.019061,0.955075,0.019958,2.677419,0.951613,0,-2.454032,0,0,0
9,0.170000,0.160000,0.000000,452,0,0.000000,0.326613,0.160484,0.000000,0.017253,0.966130,0.017858,2.612903,0.967742,0,-2.546774,0,0,0
10,0.160000,0.150000,0.000000,452,0,0.000000,0.368952,0.141640,0.000000,0.025283,0.948901,0.026644,2.677419,0.951613,0,-2.462097,0,0,0
11,0.150000,0.140000,0.000000,452,0,0.000000,0.294355,0.121081,0.000000,0.025115,0.964790,0.026031,2.677419,0.967742,0,-2.611290,0,0,0
12,0.140000,0.130000,0.000000,452,0,0.000000,0.379032,0.147982,0.000000,0.025605,0.966200,0.026500,2.564516,0.967742,0,-2.441935,0,0,0
13,0.130000,0.120000,0.000000,452,0,0.000000,0.324597,0.169737,0.000000,0.031426,0.943450,0.033310,2.467742,0.951613,0,-2.550806,0,0,0
14,0.120000,0.110000,0.000000,452,0,0.000000,0.415323,0.221128,0.000000,0.042321,0.913424,0.046333,2.500000,0.919355,0,-2.369355,0,0,0
15,0.110000,0.100000,0.000000,452,0,0.000000,0.375000,0.219026,0.000000,0.058122,0.917298,0.063363,2.596774,0.935484,0,-2.450000,0,0,0
16,0.100000,0.090000,0.000000,452,0,0.000000,0.417339,0.241449,0.000000,0.085954,0.871913,0.098581,2.645161,0.903226,0,-2.365323,0,0,0
17,0.090000,0.080000,0.000000,452,0,0.000000,0.397177,0.225158,0.000000,0.193276,0.906834,0.213133,2.645161,0.983871,0,-2.405645,0,0,0
18,0.080000,0.070000,0.000000,452,0,0.000000,0.435484,0.330348,0.000000,0.118413,0.914832,0.129437,2.467742,0.935484,0,-2.329032,0,0,0
