epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,topk_budget_selected,topk_rescue_selected,nonfall_selected_count,fall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,4.122382,1.986360,0.085981,0.960080,0.098649,0.122736,0.960628,7.693548,2.677419,7.693548,2.677419,0.951613,0.127766,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,3.994178,1.995980,0.019113,0.971181,0.028114,0.033211,0.971488,7.629032,2.580645,7.629032,2.580645,0.951613,0.034186,0.139113,0.040651,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
3,4.069756,1.995977,0.017535,1.012074,0.025004,0.027430,1.012309,7.645161,2.629032,7.645161,2.629032,1.000000,0.027096,0.338710,0.127233,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
4,3.933895,1.996335,0.013675,0.949069,0.019591,0.022776,0.949530,7.677419,2.564516,7.677419,2.564516,0.935484,0.023987,0.268145,0.131442,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
5,4.006551,1.994120,0.008436,0.992386,0.013743,0.020645,0.992705,7.661290,2.629032,7.661290,2.629032,0.983871,0.020797,0.276210,0.095492,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
6,4.003754,1.997411,0.007653,0.990828,0.013234,0.014547,0.990991,7.677419,2.709677,7.677419,2.709677,0.983871,0.014679,0.391129,0.244266,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
7,3.994761,1.994745,0.007169,0.988099,0.012388,0.015912,0.988383,7.629032,2.725806,7.629032,2.725806,0.983871,0.016099,0.346774,0.121862,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
8,3.934905,1.994635,0.010534,0.954889,0.014658,0.019695,0.955266,7.612903,2.645161,7.612903,2.645161,0.951613,0.020617,0.362903,0.220215,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
9,4.018541,1.995745,0.004821,1.003476,0.007760,0.012332,1.003656,7.661290,2.725806,7.661290,2.725806,1.000000,0.012287,0.137097,0.040879,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
10,3.893612,1.994822,0.008700,0.936881,0.011731,0.017169,0.937186,7.645161,2.661290,7.645161,2.661290,0.935484,0.018320,0.324597,0.160776,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
11,3.828660,1.993770,0.007241,0.906413,0.010439,0.016463,0.906682,7.629032,2.596774,7.629032,2.596774,0.903226,0.018157,0.372984,0.213985,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
12,3.822888,1.993471,0.008284,0.902527,0.011340,0.017868,0.902800,7.661290,2.467742,7.661290,2.467742,0.903226,0.019792,0.421371,0.283212,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
13,3.881644,1.993719,0.007148,0.932792,0.010656,0.017163,0.933037,7.725806,2.596774,7.725806,2.596774,0.935484,0.018394,0.290323,0.129862,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
14,3.949488,1.991904,0.009494,0.964064,0.013646,0.023729,0.964448,7.693548,2.629032,7.693548,2.629032,0.967742,0.024604,0.354839,0.165649,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
15,3.917886,1.990647,0.012289,0.945997,0.015344,0.028141,0.946574,7.693548,2.645161,7.693548,2.645161,0.951613,0.029730,0.344758,0.217406,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
16,3.947545,1.988526,0.013627,0.958874,0.017886,0.036247,0.959571,7.677419,2.758065,7.677419,2.758065,0.967742,0.037775,0.377016,0.194857,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
17,3.946419,1.986264,0.014779,0.957373,0.019924,0.038616,0.958425,7.580645,2.854839,7.580645,2.854839,0.967742,0.040291,0.338710,0.170403,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
18,3.916574,1.985080,0.016143,0.941635,0.021185,0.040484,0.942409,7.709677,2.580645,7.709677,2.580645,0.951613,0.042958,0.457661,0.285578,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
