condition_id,condition_label,condition_type,true_nonfall_class_id,true_nonfall_class_name,total_true_windows_for_class,false_fall_alert_count_from_class,class_normalized_false_fall_alarm_rate,class_normalized_false_fall_alarm_rate_percent,total_false_fall_alerts_in_condition,share_of_condition_false_fall_alerts,share_of_condition_false_fall_alerts_percent,interpretation
clean,Clean,undefended clean,0,lie down,132,0,0.000000,0.00,32,0.000000,0.00,This true non-fall class did not produce false fall alarms in this condition.
clean,Clean,undefended clean,2,walk,293,0,0.000000,0.00,32,0.000000,0.00,This true non-fall class did not produce false fall alarms in this condition.
clean,Clean,undefended clean,3,pickup,99,17,0.171717,17.17,32,0.531250,53.12,"This class contributed most of the false fall alarms in this condition, partly reflecting class count and/or class-specific error rate."
clean,Clean,undefended clean,4,run,242,2,0.008264,0.83,32,0.062500,6.25,"This class contributed some false fall alarms, but not as the dominant normalized source."
clean,Clean,undefended clean,5,sit down,80,2,0.025000,2.50,32,0.062500,6.25,"This class contributed some false fall alarms, but not as the dominant normalized source."
clean,Clean,undefended clean,6,stand up,61,11,0.180328,18.03,32,0.343750,34.38,"This class contributed some false fall alarms, but not as the dominant normalized source."
fgsm_attack,FGSM Attack,undefended attacked,0,lie down,132,11,0.083333,8.33,119,0.092437,9.24,"This class contributed some false fall alarms, but not as the dominant normalized source."
fgsm_attack,FGSM Attack,undefended attacked,2,walk,293,36,0.122867,12.29,119,0.302521,30.25,"This class contributed some false fall alarms, but not as the dominant normalized source."
fgsm_attack,FGSM Attack,undefended attacked,3,pickup,99,3,0.030303,3.03,119,0.025210,2.52,"This class contributed some false fall alarms, but not as the dominant normalized source."
fgsm_attack,FGSM Attack,undefended attacked,4,run,242,50,0.206612,20.66,119,0.420168,42.02,"This class contributed some false fall alarms, but not as the dominant normalized source."
fgsm_attack,FGSM Attack,undefended attacked,5,sit down,80,9,0.112500,11.25,119,0.075630,7.56,"This class contributed some false fall alarms, but not as the dominant normalized source."
fgsm_attack,FGSM Attack,undefended attacked,6,stand up,61,10,0.163934,16.39,119,0.084034,8.40,"This class contributed some false fall alarms, but not as the dominant normalized source."
pgd_attack,PGD Attack,undefended attacked,0,lie down,132,20,0.151515,15.15,115,0.173913,17.39,"This class contributed some false fall alarms, but not as the dominant normalized source."
