rank,attack_type,criterion_id,failure_category,metric,threshold_rule,threshold_epsilon,threshold_metric_value,baseline_epsilon,baseline_metric_value,previous_epsilon,previous_metric_value,status,observed_epsilon_grid,interpretation,thesis_use,claim_boundary
1,FGSM,severe_missed_fall_threshold,Missed-fall risk,missed_fall_rate,missed_fall_rate >= 0.75,0.0100,0.9888,0.0000,0.3596,0.0050,0.7416,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,At least 75% of fall windows are missed. This indicates severe window-level fall-detection degradation.,Use as an early safety-proxy failure threshold showing when attack strength becomes unacceptable for fall-window detection.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
2,FGSM,near_complete_missed_fall_threshold,Missed-fall risk,missed_fall_rate,missed_fall_rate >= 0.95,0.0100,0.9888,0.0000,0.3596,0.0050,0.7416,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,At least 95% of fall windows are missed. This indicates near-complete window-level fall-detection collapse.,Use to identify when the fall detector is nearly unusable under attack at the window level.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
3,FGSM,complete_fall_detection_collapse,Missed-fall risk,missed_fall_rate,missed_fall_rate >= 1.00,0.0200,1.0000,0.0000,0.3596,0.0100,0.9888,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,All fall windows are missed. This indicates complete window-level fall-detection collapse.,Use as the strongest robustness-failure marker for fall-window detection.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
4,FGSM,recall_collapse_threshold,Fall recall,recall_sensitivity,recall_sensitivity <= 0.05,0.0100,0.0112,0.0000,0.6404,0.0050,0.2584,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,Fall-window recall drops to 5% or lower. This indicates that the model almost never detects fall windows.,Use to connect attack strength to collapse of fall-window sensitivity.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
5,FGSM,f1_collapse_threshold,Fall precision-recall balance,f1_score,f1_score <= 0.05,0.0100,0.0148,0.0000,0.6404,0.0050,0.3026,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,F1-score drops to 5% or lower. This indicates collapse of the combined fall-window precision/recall balance.,Use as a compact binary safety-proxy performance-collapse marker.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
6,FGSM,seven_class_accuracy_collapse,Multiclass recognition,seven_class_accuracy,seven_class_accuracy <= 0.25,0.0100,0.2390,0.0000,0.6596,0.0050,0.4116,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,Seven-class activity accuracy falls to 25% or lower. This indicates major multiclass recognition collapse.,"Use to show that attacks degrade not only binary fall safety proxies, but also the underlying seven-class activity model.","Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
7,FGSM,balanced_accuracy_failure_threshold,Balanced binary performance,balanced_accuracy,balanced_accuracy <= 0.50,0.0100,0.4808,0.0000,0.8026,0.0050,0.6072,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,Balanced accuracy falls to 50% or lower. This indicates weak or collapsed binary fall-vs-non-fall discrimination.,Use as an imbalance-aware binary safety-proxy failure threshold.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
8,FGSM,prediction_instability_threshold,Prediction stability,prediction_change_rate,prediction_change_rate >= 0.50,0.0200,0.6827,0.0000,0.0000,0.0100,0.4839,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,At least half of predictions change under attack. This indicates strong model instability under perturbation.,Use to quantify attack-induced prediction instability across the epsilon sweep.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
9,FGSM,high_false_alarm_burden_threshold,False-fall alarm burden,false_alarm_count,false_alarm_count >= 100,0.0200,100.0000,0.0000,32.0000,0.0100,45.0000,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,At least 100 non-fall windows are incorrectly predicted as fall. This indicates high window-level false-fall-alarm burden.,Use as a window-level false-alert burden threshold. Do not interpret as false alarms per hour/day because recording duration is unavailable.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
10,PGD,severe_missed_fall_threshold,Missed-fall risk,missed_fall_rate,missed_fall_rate >= 0.75,0.0050,0.7865,0.0000,0.3596,0.0000,0.3596,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,At least 75% of fall windows are missed. This indicates severe window-level fall-detection degradation.,Use as an early safety-proxy failure threshold showing when attack strength becomes unacceptable for fall-window detection.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
11,PGD,near_complete_missed_fall_threshold,Missed-fall risk,missed_fall_rate,missed_fall_rate >= 0.95,0.0100,1.0000,0.0000,0.3596,0.0050,0.7865,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,At least 95% of fall windows are missed. This indicates near-complete window-level fall-detection collapse.,Use to identify when the fall detector is nearly unusable under attack at the window level.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
12,PGD,complete_fall_detection_collapse,Missed-fall risk,missed_fall_rate,missed_fall_rate >= 1.00,0.0100,1.0000,0.0000,0.3596,0.0050,0.7865,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,All fall windows are missed. This indicates complete window-level fall-detection collapse.,Use as the strongest robustness-failure marker for fall-window detection.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
13,PGD,recall_collapse_threshold,Fall recall,recall_sensitivity,recall_sensitivity <= 0.05,0.0100,0.0000,0.0000,0.6404,0.0050,0.2135,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,Fall-window recall drops to 5% or lower. This indicates that the model almost never detects fall windows.,Use to connect attack strength to collapse of fall-window sensitivity.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
14,PGD,f1_collapse_threshold,Fall precision-recall balance,f1_score,f1_score <= 0.05,0.0100,0.0000,0.0000,0.6404,0.0050,0.2517,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,F1-score drops to 5% or lower. This indicates collapse of the combined fall-window precision/recall balance.,Use as a compact binary safety-proxy performance-collapse marker.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
15,PGD,seven_class_accuracy_collapse,Multiclass recognition,seven_class_accuracy,seven_class_accuracy <= 0.25,0.0100,0.1727,0.0000,0.6596,0.0050,0.3896,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,Seven-class activity accuracy falls to 25% or lower. This indicates major multiclass recognition collapse.,"Use to show that attacks degrade not only binary fall safety proxies, but also the underlying seven-class activity model.","Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
16,PGD,balanced_accuracy_failure_threshold,Balanced binary performance,balanced_accuracy,balanced_accuracy <= 0.50,0.0100,0.4614,0.0000,0.8026,0.0050,0.5830,threshold reached,0.0000; 0.0050; 0.0100; 0.0200; 0.0300,Balanced accuracy falls to 50% or lower. This indicates weak or collapsed binary fall-vs-non-fall discrimination.,Use as an imbalance-aware binary safety-proxy failure threshold.,"Research implementation only; window-level robustness-threshold analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
