attack_type,epsilon,attacked_accuracy,missed_fall_rate_fnr,false_positive_rate_fpr,safety_priority_score_10_to_1,tp,fn,fp,tn,total_windows,total_fall_windows,total_nonfall_windows,prediction_file,alpha,pgd_steps,interpretation
FGSM,0.000000,0.659639,0.359551,0.035281,3.630787,57,32,32,875,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0.csv,,,"FGSM at epsilon=0.000000: FNR=0.360, FPR=0.035, score10=3.631, accuracy=0.660."
FGSM,0.001000,0.622490,0.415730,0.029768,4.187072,52,37,27,880,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_001.csv,,,"FGSM at epsilon=0.001000: FNR=0.416, FPR=0.030, score10=4.187, accuracy=0.622."
FGSM,0.002000,0.567269,0.483146,0.033076,4.864537,46,43,30,877,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_002.csv,,,"FGSM at epsilon=0.002000: FNR=0.483, FPR=0.033, score10=4.865, accuracy=0.567."
FGSM,0.003000,0.514056,0.561798,0.034179,5.652156,39,50,31,876,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_003.csv,,,"FGSM at epsilon=0.003000: FNR=0.562, FPR=0.034, score10=5.652, accuracy=0.514."
FGSM,0.004000,0.466867,0.640449,0.038589,6.443083,32,57,35,872,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_004.csv,,,"FGSM at epsilon=0.004000: FNR=0.640, FPR=0.039, score10=6.443, accuracy=0.467."
FGSM,0.005000,0.411647,0.741573,0.044101,7.459832,23,66,40,867,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_005.csv,,,"FGSM at epsilon=0.005000: FNR=0.742, FPR=0.044, score10=7.460, accuracy=0.412."
FGSM,0.007500,0.318273,0.921348,0.045204,9.258687,7,82,41,866,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_0075.csv,,,"FGSM at epsilon=0.007500: FNR=0.921, FPR=0.045, score10=9.259, accuracy=0.318."
FGSM,0.010000,0.238956,0.988764,0.049614,9.937255,1,88,45,862,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_01.csv,,,"FGSM at epsilon=0.010000: FNR=0.989, FPR=0.050, score10=9.937, accuracy=0.239."
FGSM,0.012500,0.160643,1.000000,0.078280,10.078280,0,89,71,836,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_0125.csv,,,"FGSM at epsilon=0.012500: FNR=1.000, FPR=0.078, score10=10.078, accuracy=0.161."
FGSM,0.015000,0.119478,1.000000,0.093716,10.093716,0,89,85,822,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_015.csv,,,"FGSM at epsilon=0.015000: FNR=1.000, FPR=0.094, score10=10.094, accuracy=0.119."
FGSM,0.017500,0.087349,1.000000,0.102536,10.102536,0,89,93,814,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_0175.csv,,,"FGSM at epsilon=0.017500: FNR=1.000, FPR=0.103, score10=10.103, accuracy=0.087."
FGSM,0.020000,0.062249,1.000000,0.110254,10.110254,0,89,100,807,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_02.csv,,,"FGSM at epsilon=0.020000: FNR=1.000, FPR=0.110, score10=10.110, accuracy=0.062."
FGSM,0.025000,0.021084,1.000000,0.125689,10.125689,0,89,114,793,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_025.csv,,,"FGSM at epsilon=0.025000: FNR=1.000, FPR=0.126, score10=10.126, accuracy=0.021."
FGSM,0.030000,0.010040,1.000000,0.131202,10.131202,0,89,119,788,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_03.csv,,,"FGSM at epsilon=0.030000: FNR=1.000, FPR=0.131, score10=10.131, accuracy=0.010."
FGSM,0.035000,0.004016,1.000000,0.132304,10.132304,0,89,120,787,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_035.csv,,,"FGSM at epsilon=0.035000: FNR=1.000, FPR=0.132, score10=10.132, accuracy=0.004."
FGSM,0.040000,0.002008,1.000000,0.134509,10.134509,0,89,122,785,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_04.csv,,,"FGSM at epsilon=0.040000: FNR=1.000, FPR=0.135, score10=10.135, accuracy=0.002."
FGSM,0.050000,0.002008,1.000000,0.147740,10.147740,0,89,134,773,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_05.csv,,,"FGSM at epsilon=0.050000: FNR=1.000, FPR=0.148, score10=10.148, accuracy=0.002."
FGSM,0.075000,0.001004,1.000000,0.156560,10.156560,0,89,142,765,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\fgsm_predictions_short_epsilon_0_075.csv,,,"FGSM at epsilon=0.075000: FNR=1.000, FPR=0.157, score10=10.157, accuracy=0.001."
PGD,0.000000,0.659639,0.359551,0.035281,3.630787,57,32,32,875,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0.csv,0.000000,10,"PGD at epsilon=0.000000: FNR=0.360, FPR=0.035, score10=3.631, accuracy=0.660."
PGD,0.001000,0.622490,0.415730,0.029768,4.187072,52,37,27,880,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_001.csv,0.000167,10,"PGD at epsilon=0.001000: FNR=0.416, FPR=0.030, score10=4.187, accuracy=0.622."
PGD,0.002000,0.562249,0.494382,0.033076,4.976896,45,44,30,877,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_002.csv,0.000333,10,"PGD at epsilon=0.002000: FNR=0.494, FPR=0.033, score10=4.977, accuracy=0.562."
PGD,0.003000,0.503012,0.584270,0.035281,5.877978,37,52,32,875,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_003.csv,0.000500,10,"PGD at epsilon=0.003000: FNR=0.584, FPR=0.035, score10=5.878, accuracy=0.503."
PGD,0.004000,0.451807,0.685393,0.037486,6.891419,28,61,34,873,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_004.csv,0.000667,10,"PGD at epsilon=0.004000: FNR=0.685, FPR=0.037, score10=6.891, accuracy=0.452."
PGD,0.005000,0.389558,0.786517,0.047409,7.912578,19,70,43,864,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_005.csv,0.000833,10,"PGD at epsilon=0.005000: FNR=0.787, FPR=0.047, score10=7.913, accuracy=0.390."
PGD,0.007500,0.278112,0.943820,0.052922,9.491124,5,84,48,859,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_0075.csv,0.001250,10,"PGD at epsilon=0.007500: FNR=0.944, FPR=0.053, score10=9.491, accuracy=0.278."
PGD,0.010000,0.172691,1.000000,0.077178,10.077178,0,89,70,837,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_01.csv,0.001667,10,"PGD at epsilon=0.010000: FNR=1.000, FPR=0.077, score10=10.077, accuracy=0.173."
PGD,0.012500,0.107430,1.000000,0.099228,10.099228,0,89,90,817,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_0125.csv,0.002083,10,"PGD at epsilon=0.012500: FNR=1.000, FPR=0.099, score10=10.099, accuracy=0.107."
PGD,0.015000,0.070281,1.000000,0.104741,10.104741,0,89,95,812,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_015.csv,0.002500,10,"PGD at epsilon=0.015000: FNR=1.000, FPR=0.105, score10=10.105, accuracy=0.070."
PGD,0.017500,0.030120,1.000000,0.111356,10.111356,0,89,101,806,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_0175.csv,0.002917,10,"PGD at epsilon=0.017500: FNR=1.000, FPR=0.111, score10=10.111, accuracy=0.030."
PGD,0.020000,0.013052,1.000000,0.122381,10.122381,0,89,111,796,996,89,907,C:\Users\Hesar\Documents\GitHub\secure-wifi-csi-healthcare-sensing\experiments\fall_detection_attack_safety_demo\results\epsilon_sweep_predictions\pgd_predictions_short_epsilon_0_02.csv,0.003333,10,"PGD at epsilon=0.020000: FNR=1.000, FPR=0.122, score10=10.122, accuracy=0.013."
