condition_id,condition_name,defense_state,attack_type,epsilon,error_family,risk_priority,true_label,true_class_name,predicted_label,predicted_class_name,count,total_windows,percent_of_total_windows,safety_proxy_interpretation,thesis_use,claim_boundary
undefended_clean,Undefended clean baseline,undefended,none,NA,missed_fall_multiclass_error,highest,1,fall,0,lie down,0,996,0.0000,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,missed_fall_multiclass_error,highest,1,fall,2,walk,12,996,1.2048,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,missed_fall_multiclass_error,highest,1,fall,3,pickup,0,996,0.0000,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,missed_fall_multiclass_error,highest,1,fall,4,run,20,996,2.0080,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,missed_fall_multiclass_error,highest,1,fall,5,sit down,0,996,0.0000,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,missed_fall_multiclass_error,highest,1,fall,6,stand up,0,996,0.0000,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,false_fall_alarm_multiclass_error,high,0,lie down,1,fall,0,996,0.0000,Non-fall window predicted as fall; contributes to window-level false fall alarm count.,"Use to explain which non-fall activities are converted into false fall alarms under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,false_fall_alarm_multiclass_error,high,2,walk,1,fall,0,996,0.0000,Non-fall window predicted as fall; contributes to window-level false fall alarm count.,"Use to explain which non-fall activities are converted into false fall alarms under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,false_fall_alarm_multiclass_error,high,3,pickup,1,fall,17,996,1.7068,Non-fall window predicted as fall; contributes to window-level false fall alarm count.,"Use to explain which non-fall activities are converted into false fall alarms under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,false_fall_alarm_multiclass_error,high,4,run,1,fall,2,996,0.2008,Non-fall window predicted as fall; contributes to window-level false fall alarm count.,"Use to explain which non-fall activities are converted into false fall alarms under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,false_fall_alarm_multiclass_error,high,5,sit down,1,fall,2,996,0.2008,Non-fall window predicted as fall; contributes to window-level false fall alarm count.,"Use to explain which non-fall activities are converted into false fall alarms under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_clean,Undefended clean baseline,undefended,none,NA,false_fall_alarm_multiclass_error,high,6,stand up,1,fall,11,996,1.1044,Non-fall window predicted as fall; contributes to window-level false fall alarm count.,"Use to explain which non-fall activities are converted into false fall alarms under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_fgsm_epsilon_0_03,"Undefended FGSM attack, epsilon 0.030",undefended,FGSM,0.030,missed_fall_multiclass_error,highest,1,fall,0,lie down,6,996,0.6024,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_fgsm_epsilon_0_03,"Undefended FGSM attack, epsilon 0.030",undefended,FGSM,0.030,missed_fall_multiclass_error,highest,1,fall,2,walk,60,996,6.0241,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_fgsm_epsilon_0_03,"Undefended FGSM attack, epsilon 0.030",undefended,FGSM,0.030,missed_fall_multiclass_error,highest,1,fall,3,pickup,0,996,0.0000,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_fgsm_epsilon_0_03,"Undefended FGSM attack, epsilon 0.030",undefended,FGSM,0.030,missed_fall_multiclass_error,highest,1,fall,4,run,17,996,1.7068,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_fgsm_epsilon_0_03,"Undefended FGSM attack, epsilon 0.030",undefended,FGSM,0.030,missed_fall_multiclass_error,highest,1,fall,5,sit down,0,996,0.0000,Fall window predicted as a non-fall activity; contributes to window-level missed fall rate.,"Use to explain which non-fall classes absorb fall windows under clean, attacked, or defended conditions.","Research implementation only; window-level multiclass error-taxonomy analysis; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
