condition_id,condition_label,condition_type,missed_fall_destination_class_id,missed_fall_destination_class_name,total_true_fall_windows,total_missed_fall_windows_fn,overall_missed_fall_rate,overall_missed_fall_rate_percent,missed_falls_to_destination_count,destination_rate_among_true_fall_windows,destination_rate_among_true_fall_windows_percent,share_among_missed_fall_windows,share_among_missed_fall_windows_percent,interpretation
clean,Clean,undefended clean,0,lie down,89,32,0.359551,35.96,0,0.000000,0.00,0.000000,0.00,No missed fall windows were predicted as this destination class.
clean,Clean,undefended clean,2,walk,89,32,0.359551,35.96,12,0.134831,13.48,0.375000,37.50,This destination class accounts for some missed fall windows in this condition.
clean,Clean,undefended clean,3,pickup,89,32,0.359551,35.96,0,0.000000,0.00,0.000000,0.00,No missed fall windows were predicted as this destination class.
clean,Clean,undefended clean,4,run,89,32,0.359551,35.96,20,0.224719,22.47,0.625000,62.50,This destination class accounts for at least half of missed fall windows in this condition.
clean,Clean,undefended clean,5,sit down,89,32,0.359551,35.96,0,0.000000,0.00,0.000000,0.00,No missed fall windows were predicted as this destination class.
clean,Clean,undefended clean,6,stand up,89,32,0.359551,35.96,0,0.000000,0.00,0.000000,0.00,No missed fall windows were predicted as this destination class.
fgsm_attack,FGSM Attack,undefended attacked,0,lie down,89,89,1.000000,100.00,6,0.067416,6.74,0.067416,6.74,This destination class accounts for some missed fall windows in this condition.
fgsm_attack,FGSM Attack,undefended attacked,2,walk,89,89,1.000000,100.00,60,0.674157,67.42,0.674157,67.42,This destination class accounts for at least half of missed fall windows in this condition.
fgsm_attack,FGSM Attack,undefended attacked,3,pickup,89,89,1.000000,100.00,0,0.000000,0.00,0.000000,0.00,No missed fall windows were predicted as this destination class.
fgsm_attack,FGSM Attack,undefended attacked,4,run,89,89,1.000000,100.00,17,0.191011,19.10,0.191011,19.10,This destination class accounts for some missed fall windows in this condition.
fgsm_attack,FGSM Attack,undefended attacked,5,sit down,89,89,1.000000,100.00,0,0.000000,0.00,0.000000,0.00,No missed fall windows were predicted as this destination class.
fgsm_attack,FGSM Attack,undefended attacked,6,stand up,89,89,1.000000,100.00,6,0.067416,6.74,0.067416,6.74,This destination class accounts for some missed fall windows in this condition.
pgd_attack,PGD Attack,undefended attacked,0,lie down,89,89,1.000000,100.00,9,0.101124,10.11,0.101124,10.11,This destination class accounts for some missed fall windows in this condition.
pgd_attack,PGD Attack,undefended attacked,2,walk,89,89,1.000000,100.00,54,0.606742,60.67,0.606742,60.67,This destination class accounts for at least half of missed fall windows in this condition.
pgd_attack,PGD Attack,undefended attacked,3,pickup,89,89,1.000000,100.00,0,0.000000,0.00,0.000000,0.00,No missed fall windows were predicted as this destination class.
pgd_attack,PGD Attack,undefended attacked,4,run,89,89,1.000000,100.00,15,0.168539,16.85,0.168539,16.85,This destination class accounts for some missed fall windows in this condition.
pgd_attack,PGD Attack,undefended attacked,5,sit down,89,89,1.000000,100.00,11,0.123596,12.36,0.123596,12.36,This destination class accounts for some missed fall windows in this condition.
pgd_attack,PGD Attack,undefended attacked,6,stand up,89,89,1.000000,100.00,0,0.000000,0.00,0.000000,0.00,No missed fall windows were predicted as this destination class.
