comparison_id,comparison_label,attack_condition,defended_condition,true_nonfall_class_id,true_nonfall_class_name,total_true_windows_for_class,attack_false_fall_alert_count,defended_false_fall_alert_count,attack_class_normalized_false_alarm_rate,defended_class_normalized_false_alarm_rate,absolute_rate_change_defended_minus_attack,absolute_rate_change_percentage_points,absolute_rate_reduction_attack_minus_defended,absolute_rate_reduction_percentage_points,absolute_count_change_defended_minus_attack,absolute_count_reduction_attack_minus_defended,relative_rate_reduction,relative_rate_reduction_percent,interpretation
fgsm_to_defended_fgsm,FGSM Attack -> Defended FGSM,FGSM Attack,Defended FGSM,0,lie down,132,11,9,0.083333,0.068182,-0.015152,-1.52,0.015152,1.52,-2,2,0.181818,18.18,Defense reduced the class-normalized false-fall-alarm rate for this class.
fgsm_to_defended_fgsm,FGSM Attack -> Defended FGSM,FGSM Attack,Defended FGSM,2,walk,293,36,5,0.122867,0.017065,-0.105802,-10.58,0.105802,10.58,-31,31,0.861111,86.11,Defense substantially reduced the class-normalized false-fall-alarm rate for this class.
fgsm_to_defended_fgsm,FGSM Attack -> Defended FGSM,FGSM Attack,Defended FGSM,3,pickup,99,3,1,0.030303,0.010101,-0.020202,-2.02,0.020202,2.02,-2,2,0.666667,66.67,Defense reduced the class-normalized false-fall-alarm rate for this class.
fgsm_to_defended_fgsm,FGSM Attack -> Defended FGSM,FGSM Attack,Defended FGSM,4,run,242,50,37,0.206612,0.152893,-0.053719,-5.37,0.053719,5.37,-13,13,0.260000,26.00,Defense reduced the class-normalized false-fall-alarm rate for this class.
fgsm_to_defended_fgsm,FGSM Attack -> Defended FGSM,FGSM Attack,Defended FGSM,5,sit down,80,9,4,0.112500,0.050000,-0.062500,-6.25,0.062500,6.25,-5,5,0.555556,55.56,Defense reduced the class-normalized false-fall-alarm rate for this class.
fgsm_to_defended_fgsm,FGSM Attack -> Defended FGSM,FGSM Attack,Defended FGSM,6,stand up,61,10,16,0.163934,0.262295,0.098361,9.84,-0.098361,-9.84,6,-6,-0.600000,-60.00,Defense increased the class-normalized false-fall-alarm rate for this class.
pgd_to_defended_pgd,PGD Attack -> Defended PGD,PGD Attack,Defended PGD,0,lie down,132,20,7,0.151515,0.053030,-0.098485,-9.85,0.098485,9.85,-13,13,0.650000,65.00,Defense reduced the class-normalized false-fall-alarm rate for this class.
pgd_to_defended_pgd,PGD Attack -> Defended PGD,PGD Attack,Defended PGD,2,walk,293,35,1,0.119454,0.003413,-0.116041,-11.60,0.116041,11.60,-34,34,0.971429,97.14,Defense substantially reduced the class-normalized false-fall-alarm rate for this class.
pgd_to_defended_pgd,PGD Attack -> Defended PGD,PGD Attack,Defended PGD,3,pickup,99,0,1,0.000000,0.010101,0.010101,1.01,-0.010101,-1.01,1,-1,0.000000,0.00,Defense increased the class-normalized false-fall-alarm rate for this class.
pgd_to_defended_pgd,PGD Attack -> Defended PGD,PGD Attack,Defended PGD,4,run,242,34,31,0.140496,0.128099,-0.012397,-1.24,0.012397,1.24,-3,3,0.088235,8.82,Defense reduced the class-normalized false-fall-alarm rate for this class.
pgd_to_defended_pgd,PGD Attack -> Defended PGD,PGD Attack,Defended PGD,5,sit down,80,10,5,0.125000,0.062500,-0.062500,-6.25,0.062500,6.25,-5,5,0.500000,50.00,Defense reduced the class-normalized false-fall-alarm rate for this class.
pgd_to_defended_pgd,PGD Attack -> Defended PGD,PGD Attack,Defended PGD,6,stand up,61,16,11,0.262295,0.180328,-0.081967,-8.20,0.081967,8.20,-5,5,0.312500,31.25,Defense reduced the class-normalized false-fall-alarm rate for this class.
